"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","3","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","subTest","subTest(double, double, double) Sub 30 - -7",""
"failed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","5","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","addTest","addTest(double, double, double) Add 6 + -50",""
"failed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","13","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","divideTest","divideTest(int, int, int) Add ""9"" + ""3""",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","2","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","addTest","addTest(double, double, double) Add -7 + -60",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","3","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","divideTest","divideTest(int, int, int) Add ""20"" + ""4""",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","10","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","subTest","subTest(double, double, double) Sub 10 - 5",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","3","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","addTest","addTest(double, double, double) Add 10 + 15",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","3","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","multiplyTest","MultiplicationTest",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","2","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","subTest","subTest(double, double, double) Sub 3 - 2",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","85","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","divideTest","divideTest(int, int, int) Add ""10"" + ""2""",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","4","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","addTest","addTest(double, double, double) Add 5.777 + 8.5",""
"passed","Mon May 11 23:57:17 UTC 2026","Mon May 11 23:57:17 UTC 2026","2","","com.example.projectrecap.CalculatorTest","","com.example.projectrecap.CalculatorTest","subTest","subTest(double, double, double) Sub -10 - -20",""
